StudentID,StudentName,EnrolledCourses
001,Lubna Siddiqui,CS118-01;CS120-03;CS112-01
002,Saad Chaudhry,CS128-02;CS107-02;CS102-03;CS101-02
003,Nabeel Ali,CS109-01;CS122-02;CS121-01;CS113-02;CS124-01
004,Ayesha Hashmi,CS109-01;CS119-02;CS124-01;CS121-01;CS126-03
005,Danyal Bokhari,CS117-03;CS101-02
006,Noor Ahmed,CS115-01;CS101-02
007,Hamza Memon,CS125-02;CS103-01
008,Lubna Butt,CS114-03;CS101-02
009,Sana Malik,CS121-01;CS125-02;CS120-03
010,Waleed Raza,CS105-03;CS104-02;CS116-02
011,Bilal Ansari,CS112-01;CS111-03;CS122-02
012,Noor Beg,CS118-01;CS127-01;CS103-01;CS109-01;CS111-03
013,Rabia Syed,CS119-02;CS110-02;CS106-01;CS123-03
014,Zara Ahmed,CS107-02;CS129-03;CS121-01
015,Sana Javed,CS129-03;CS125-02;CS116-02;CS103-01;CS118-01
016,Ali Javed,CS102-03;CS127-01;CS109-01;CS101-02;CS117-03
017,Kamran Bokhari,CS121-01;CS104-02;CS106-01;CS101-02;CS109-01
018,Faisal Qureshi,CS109-01;CS116-02;CS114-03;CS119-02
019,Maira Iqbal,CS127-01;CS109-01;CS100-01;CS122-02
020,Zara Niazi,CS117-03;CS110-02
021,Hamza Baig,CS127-01;CS107-02
022,Imran Tariq,CS116-02;CS129-03;CS115-01;CS101-02;CS124-01
023,Iqra Shah,CS127-01;CS114-03;CS119-02;CS115-01
024,Zara Awan,CS102-03;CS129-03;CS107-02;CS114-03
025,Usman Ansari,CS118-01;CS126-03
026,Sidra Ali,CS125-02;CS121-01
027,Bilal Rizvi,CS127-01;CS114-03;CS123-03
028,Hamza Raza,CS123-03;CS125-02
029,Tariq Rizvi,CS125-02;CS101-02;CS126-03
030,Omar Malik,CS113-02;CS126-03;CS100-01;CS108-03
031,Omar Sheikh,CS122-02;CS128-02;CS114-03
032,Imran Syed,CS127-01;CS128-02;CS113-02
033,Adnan Gilani,CS124-01;CS105-03;CS109-01;CS113-02;CS104-02
034,Rida Qureshi,CS104-02;CS105-03;CS120-03;CS128-02;CS122-02
035,Ayesha Siddiqui,CS101-02;CS124-01;CS100-01
036,Nabeel Abbasi,CS125-02;CS112-01;CS122-02;CS101-02
037,Hiba Syed,CS123-03;CS125-02;CS114-03;CS106-01
038,Usman Farooqui,CS103-01;CS124-01
039,Maira Aziz,CS122-02;CS104-02;CS101-02;CS115-01;CS102-03
040,Maryam Waqar,CS103-01;CS108-03;CS124-01;CS107-02
041,Fatima Chaudhry,CS115-01;CS121-01;CS103-01;CS100-01
042,Shahid Abbasi,CS126-03;CS128-02;CS121-01;CS112-01;CS115-01
043,Saad Rizvi,CS127-01;CS104-02
044,Ayesha Memon,CS106-01;CS127-01
045,Farah Ahmed,CS107-02;CS126-03;CS128-02
