CourseID,CourseName,Instructor,Enrollment,Duration,RoomFeatures
CS100-01,Image Processing,Mr Aamir Gulzar,39,75,Lab
CS101-02,Simulation,Mr Arshad Islam,50,75,Lab
CS102-03,Probability,Maam Marium Hida,18,75,Whiteboard
CS103-01,Project Management,Mr Anas Bin Rashid,54,50,Whiteboard
CS104-02,Computer Architecture,Mr Hasnain Akhtar,35,75,Projector
CS105-03,HCI,Mr Hasan Mujtaba,26,50,Lab
CS106-01,Game Development,Maam Bushra Kanwal,18,75,Projector
CS107-02,Artificial Intelligence,Mr Usman Malik,15,50,Whiteboard
CS108-03,Distributed AI,Mr Fahad Chaudhry,54,75,Projector
CS109-01,Graph Theory,Maam Rabia Qureshi,43,75,Lab
CS110-02,Quantum Computing,Mr Aamir Gulzar,32,75,Lab
CS111-03,Computer Graphics,Mr Arshad Islam,46,50,Lab
CS112-01,Robotics,Maam Marium Hida,16,50,Whiteboard
CS113-02,Differential Equations,Mr Anas Bin Rashid,45,75,Lab
CS114-03,Physics II,Mr Hasnain Akhtar,54,50,Lab
CS115-01,IoT Systems,Mr Hasan Mujtaba,20,50,Lab
CS116-02,English Composition,Maam Bushra Kanwal,40,50,Whiteboard
CS117-03,Data Structures,Mr Usman Malik,20,50,Whiteboard
CS118-01,Machine Learning,Mr Fahad Chaudhry,39,75,Whiteboard
CS119-02,Web Development,Maam Rabia Qureshi,39,75,Projector
CS120-03,Digital Logic,Mr Aamir Gulzar,25,75,Whiteboard
CS121-01,Compiler Design,Mr Arshad Islam,19,50,Projector
CS122-02,Parallel Computing,Maam Marium Hida,29,75,Projector
CS123-03,Signal Processing,Mr Anas Bin Rashid,43,75,Whiteboard
CS124-01,Formal Methods,Mr Hasnain Akhtar,40,50,Whiteboard
CS125-02,Statistics,Mr Hasan Mujtaba,41,50,Whiteboard
CS126-03,NLP,Maam Bushra Kanwal,55,50,Projector
CS127-01,Software Testing,Mr Usman Malik,29,50,Whiteboard
CS128-02,Calculus II,Mr Fahad Chaudhry,29,50,Lab
CS129-03,Computer Vision,Maam Rabia Qureshi,20,50,Whiteboard
