StudentID,StudentName,EnrolledCourses
001,Danyal Awan,CS105-03;CS106-01;CS100-01;CS102-03;CS104-02
002,Waleed Chaudhry,CS105-03;CS101-02;CS103-01;CS108-03
003,Asad Farooqui,CS103-01;CS101-02;CS105-03;CS106-01;CS104-02
004,Iqra Baig,CS101-02;CS104-02;CS103-01;CS106-01
005,Zara Sheikh,CS108-03;CS109-01;CS100-01;CS104-02;CS105-03
006,Tariq Abbasi,CS100-01;CS102-03;CS104-02;CS105-03
007,Fatima Raza,CS105-03;CS109-01;CS100-01;CS101-02
008,Noor Beg,CS109-01;CS106-01;CS101-02
009,Ahmer Iqbal,CS100-01;CS101-02;CS103-01
010,Hiba Butt,CS106-01;CS107-02;CS105-03;CS101-02;CS102-03
