StudentID,StudentName,EnrolledCourses
001,Faisal Ansari,CS112-01;CS127-01
002,Noor Hashmi,CS123-03;CS110-02;CS107-02;CS124-01
003,Bilal Siddiqui,CS102-03;CS116-02;CS120-03
004,Zara Ali,CS116-02;CS106-01
005,Aisha Abbasi,CS111-03;CS123-03;CS126-03;CS120-03
006,Iqra Raza,CS107-02;CS103-01;CS104-02
007,Hira Waqar,CS106-01;CS105-03;CS119-02;CS104-02
008,Bilal Butt,CS105-03;CS124-01
009,Hiba Chaudhry,CS114-03;CS124-01;CS118-01;CS121-01;CS129-03
010,Danyal Malik,CS127-01;CS120-03;CS110-02;CS104-02
011,Hira Siddiqui,CS102-03;CS115-01;CS114-03;CS120-03;CS109-01
012,Ali Ali,CS118-01;CS101-02;CS111-03;CS116-02
013,Hira Gilani,CS109-01;CS114-03
014,Zara Raza,CS101-02;CS111-03;CS126-03;CS109-01;CS102-03
015,Farah Sheikh,CS119-02;CS116-02
016,Ali Shah,CS114-03;CS118-01;CS117-03;CS125-02;CS123-03
017,Fatima Sheikh,CS114-03;CS129-03
018,Usman Shah,CS110-02;CS119-02;CS115-01
019,Danyal Hashmi,CS101-02;CS114-03;CS103-01
020,Imran Mirza,CS122-02;CS102-03;CS116-02;CS120-03
021,Maira Hashmi,CS101-02;CS107-02;CS122-02
022,Zainab Awan,CS114-03;CS116-02;CS119-02;CS105-03;CS111-03
023,Ali Bokhari,CS129-03;CS109-01;CS112-01;CS113-02
024,Kamran Qureshi,CS121-01;CS119-02;CS101-02;CS125-02
025,Kamran Aziz,CS102-03;CS110-02;CS103-01;CS117-03
026,Hamza Javed,CS109-01;CS108-03;CS123-03;CS127-01;CS121-01
027,Zara Siddiqui,CS110-02;CS102-03;CS118-01
028,Ayesha Tariq,CS129-03;CS111-03;CS109-01
029,Fatima Tariq,CS104-02;CS119-02;CS122-02;CS102-03;CS109-01
030,Ahmer Siddiqui,CS120-03;CS125-02;CS110-02;CS126-03;CS104-02
031,Danyal Abbasi,CS120-03;CS121-01
032,Ali Ansari,CS116-02;CS111-03;CS100-01;CS109-01;CS105-03
033,Ayesha Ahmed,CS110-02;CS124-01;CS115-01
034,Kamran Siddiqui,CS107-02;CS104-02;CS102-03
035,Tariq Rizvi,CS127-01;CS125-02;CS103-01;CS116-02
036,Asad Abbasi,CS121-01;CS110-02
037,Rida Chaudhry,CS119-02;CS112-01;CS104-02
038,Hassan Tariq,CS105-03;CS126-03;CS122-02
039,Tariq Siddiqui,CS123-03;CS114-03;CS101-02
040,Tariq Bokhari,CS111-03;CS121-01;CS123-03;CS107-02;CS114-03
041,Hamza Aziz,CS124-01;CS123-03;CS125-02;CS114-03
042,Amina Raza,CS117-03;CS107-02;CS109-01
043,Sidra Mirza,CS128-02;CS126-03;CS106-01;CS111-03;CS121-01
044,Lubna Hashmi,CS114-03;CS124-01;CS109-01;CS112-01;CS116-02
045,Saba Hashmi,CS105-03;CS126-03;CS106-01;CS125-02;CS119-02
