StudentID,StudentName,EnrolledCourses
001,Nabeel Iqbal,CS116-02;CS106-01
002,Faisal Sheikh,CS113-02;CS114-03;CS110-02;CS105-03;CS111-03
003,Sana Memon,CS110-02;CS118-01;CS102-03;CS101-02
004,Omar Hashmi,CS105-03;CS101-02;CS102-03
005,Lubna Mirza,CS114-03;CS113-02;CS115-01;CS119-02
006,Hassan Tariq,CS108-03;CS106-01;CS116-02;CS103-01;CS111-03
007,Farah Raza,CS103-01;CS109-01;CS115-01;CS116-02;CS118-01
008,Tariq Gilani,CS107-02;CS112-01
009,Sidra Iqbal,CS100-01;CS106-01
010,Hira Farooqui,CS106-01;CS104-02;CS108-03;CS109-01
011,Sohaib Siddiqui,CS103-01;CS100-01;CS115-01;CS113-02
012,Bilal Qureshi,CS104-02;CS112-01;CS117-03
013,Aisha Khatri,CS116-02;CS117-03;CS111-03
014,Rabia Farooqui,CS112-01;CS101-02
015,Kamran Niazi,CS100-01;CS114-03;CS102-03;CS110-02;CS113-02
016,Hiba Khatri,CS113-02;CS109-01;CS103-01;CS112-01;CS100-01
017,Ahmer Butt,CS105-03;CS114-03;CS111-03;CS102-03
018,Maryam Ahmed,CS103-01;CS107-02;CS113-02;CS112-01;CS102-03
019,Lubna Khan,CS109-01;CS110-02;CS107-02;CS118-01;CS105-03
020,Ayesha Tariq,CS116-02;CS103-01
021,Zainab Hashmi,CS111-03;CS119-02;CS104-02
022,Hamza Khan,CS103-01;CS104-02;CS108-03
023,Maryam Shah,CS105-03;CS104-02;CS102-03
024,Saba Mirza,CS115-01;CS114-03;CS118-01
025,Hamza Waqar,CS110-02;CS104-02;CS114-03;CS102-03
026,Fatima Sheikh,CS114-03;CS109-01;CS108-03;CS101-02;CS111-03
027,Saad Rizvi,CS109-01;CS114-03
028,Kamran Gilani,CS101-02;CS119-02;CS111-03;CS109-01;CS102-03
029,Noor Waqar,CS119-02;CS116-02
030,Tariq Hussain,CS114-03;CS118-01;CS117-03;CS101-02;CS119-02
