StudentID,StudentName,EnrolledCourses
001,Tariq Qureshi,CS127-01;CS105-03;CS109-01
002,Asad Bokhari,CS115-01;CS106-01;CS110-02
003,Asad Chaudhry,CS129-03;CS125-02;CS118-01;CS108-03
004,Farah Ansari,CS100-01;CS110-02;CS111-03;CS105-03
005,Ayesha Hashmi,CS122-02;CS123-03;CS108-03;CS106-01;CS100-01
006,Ayesha Awan,CS123-03;CS111-03;CS114-03;CS125-02;CS120-03
007,Waqar Javed,CS118-01;CS113-02;CS102-03
008,Iqra Khan,CS106-01;CS109-01;CS110-02;CS112-01;CS118-01
009,Tariq Aziz,CS108-03;CS112-01
010,Shahid Tariq,CS109-01;CS107-02;CS121-01
011,Farah Iqbal,CS121-01;CS109-01
012,Kamran Rizvi,CS120-03;CS105-03
013,Rabia Ansari,CS111-03;CS128-02;CS116-02;CS101-02;CS121-01
014,Saba Ahmed,CS102-03;CS110-02;CS109-01;CS108-03;CS117-03
015,Kamran Tariq,CS129-03;CS105-03;CS120-03;CS127-01;CS112-01
016,Hamza Beg,CS129-03;CS128-02
017,Saad Ali,CS120-03;CS101-02;CS124-01
018,Sohaib Siddiqui,CS125-02;CS122-02;CS121-01
019,Amina Mirza,CS106-01;CS101-02;CS108-03
020,Lubna Qureshi,CS123-03;CS121-01;CS119-02
021,Lubna Iqbal,CS118-01;CS122-02;CS121-01;CS104-02
022,Zainab Farooqui,CS116-02;CS112-01;CS109-01
023,Danyal Bokhari,CS104-02;CS102-03;CS116-02
024,Hira Iqbal,CS112-01;CS107-02
025,Zainab Khan,CS110-02;CS128-02;CS114-03;CS113-02;CS120-03
026,Danyal Waqar,CS127-01;CS115-01;CS106-01;CS125-02
027,Iqra Javed,CS129-03;CS117-03
028,Hassan Chaudhry,CS117-03;CS128-02;CS119-02;CS123-03;CS121-01
029,Amina Niazi,CS116-02;CS126-03;CS104-02
030,Kamran Bokhari,CS101-02;CS109-01;CS128-02
031,Zara Ali,CS106-01;CS107-02;CS112-01;CS126-03
032,Imran Baig,CS104-02;CS119-02;CS106-01
033,Nabeel Abbasi,CS125-02;CS119-02;CS118-01;CS114-03;CS127-01
034,Ayesha Chaudhry,CS127-01;CS113-02;CS119-02;CS108-03;CS128-02
035,Shahid Abbasi,CS128-02;CS102-03;CS101-02
036,Usman Syed,CS104-02;CS114-03
037,Hassan Mirza,CS106-01;CS107-02;CS104-02;CS110-02;CS124-01
038,Zainab Ahmed,CS108-03;CS129-03
039,Iqra Memon,CS125-02;CS101-02;CS119-02;CS108-03
040,Aisha Hussain,CS122-02;CS127-01;CS104-02;CS118-01;CS102-03
041,Omar Siddiqui,CS102-03;CS120-03;CS116-02;CS100-01;CS122-02
042,Maryam Syed,CS119-02;CS110-02
043,Waleed Waqar,CS110-02;CS111-03;CS108-03;CS127-01;CS122-02
044,Ali Hashmi,CS106-01;CS103-01
045,Bilal Bokhari,CS109-01;CS107-02;CS128-02;CS121-01;CS103-01
046,Sohaib Raza,CS103-01;CS116-02
047,Adnan Farooqui,CS110-02;CS114-03;CS118-01
048,Hira Hashmi,CS127-01;CS122-02;CS125-02
049,Ahmer Waqar,CS123-03;CS127-01
050,Maryam Shah,CS125-02;CS126-03;CS114-03
051,Rida Khatri,CS123-03;CS128-02;CS108-03;CS125-02
052,Maryam Rizvi,CS105-03;CS111-03;CS126-03;CS106-01
053,Hamza Chaudhry,CS116-02;CS114-03;CS120-03
054,Hamza Farooqui,CS116-02;CS127-01;CS124-01;CS114-03;CS120-03
055,Iqra Baig,CS124-01;CS105-03;CS123-03;CS106-01
056,Rida Niazi,CS126-03;CS124-01
057,Sidra Mirza,CS106-01;CS100-01;CS108-03;CS119-02;CS121-01
058,Tariq Siddiqui,CS103-01;CS126-03;CS104-02
059,Danyal Mirza,CS120-03;CS114-03
060,Kamran Iqbal,CS108-03;CS103-01;CS122-02;CS124-01
061,Faisal Bokhari,CS101-02;CS119-02;CS128-02;CS115-01;CS113-02
062,Danyal Ansari,CS114-03;CS123-03;CS119-02;CS121-01
