StudentID,StudentName,EnrolledCourses
001,Waqar Hashmi,CS113-02;CS110-02
002,Saba Hashmi,CS114-03;CS102-03;CS107-02
003,Faisal Tariq,CS111-03;CS106-01;CS119-02;CS102-03
004,Saad Gilani,CS109-01;CS119-02
005,Aisha Chaudhry,CS114-03;CS100-01;CS112-01;CS107-02
006,Maryam Siddiqui,CS106-01;CS113-02;CS115-01;CS103-01;CS101-02
007,Waleed Niazi,CS118-01;CS112-01
008,Aisha Syed,CS108-03;CS116-02
009,Amina Abbasi,CS111-03;CS106-01
010,Danyal Niazi,CS119-02;CS118-01
011,Aisha Khan,CS110-02;CS108-03;CS100-01;CS117-03
012,Iqra Tariq,CS101-02;CS106-01;CS105-03;CS104-02;CS116-02
013,Iqra Khan,CS119-02;CS102-03
014,Rabia Qureshi,CS100-01;CS105-03;CS107-02;CS109-01
015,Lubna Iqbal,CS115-01;CS116-02;CS118-01
016,Hiba Rizvi,CS110-02;CS105-03;CS102-03;CS113-02
017,Zara Waqar,CS112-01;CS100-01;CS116-02;CS113-02
018,Bilal Mirza,CS115-01;CS119-02;CS105-03
019,Sidra Malik,CS116-02;CS101-02
020,Tariq Qureshi,CS109-01;CS114-03;CS101-02
021,Fatima Memon,CS112-01;CS103-01;CS114-03;CS107-02
022,Rabia Abbasi,CS118-01;CS107-02;CS106-01;CS103-01
023,Tariq Mirza,CS119-02;CS102-03;CS109-01
024,Sohaib Malik,CS113-02;CS102-03;CS118-01
025,Amina Niazi,CS105-03;CS109-01;CS104-02
026,Fatima Farooqui,CS106-01;CS110-02;CS118-01;CS108-03;CS116-02
027,Hassan Farooqui,CS110-02;CS111-03
028,Rida Aziz,CS119-02;CS117-03;CS113-02
029,Ayesha Awan,CS106-01;CS100-01;CS116-02;CS114-03
030,Sidra Sheikh,CS114-03;CS105-03;CS113-02;CS102-03
