StudentID,StudentName,EnrolledCourses
001,Nabeel Tariq,CS107-02;CS102-03;CS108-03;CS109-01
002,Sidra Niazi,CS108-03;CS104-02;CS100-01;CS103-01
003,Aisha Ansari,CS100-01;CS103-01
004,Hassan Awan,CS106-01;CS103-01;CS109-01
005,Sohaib Khan,CS109-01;CS102-03;CS108-03;CS107-02;CS103-01
006,Rida Javed,CS109-01;CS103-01
007,Sana Ali,CS106-01;CS100-01;CS102-03;CS103-01;CS109-01
008,Maryam Ahmed,CS100-01;CS101-02;CS102-03;CS107-02;CS106-01
009,Hassan Ansari,CS106-01;CS101-02;CS108-03
010,Hassan Qureshi,CS102-03;CS108-03;CS107-02
