StudentID,StudentName,EnrolledCourses
001,Bilal Bokhari,CS103-01;CS105-03
002,Nimra Niazi,CS105-03;CS107-02;CS102-03;CS104-02
003,Nimra Farooqui,CS104-02;CS102-03;CS100-01;CS103-01
004,Hiba Bokhari,CS109-01;CS103-01;CS105-03
005,Rida Memon,CS102-03;CS106-01;CS104-02;CS101-02
006,Hamza Raza,CS105-03;CS103-01;CS102-03;CS101-02;CS100-01
007,Iqra Qureshi,CS109-01;CS108-03;CS107-02;CS103-01;CS105-03
008,Waleed Abbasi,CS106-01;CS100-01;CS108-03;CS104-02
009,Ayesha Khatri,CS103-01;CS108-03;CS104-02
010,Danyal Syed,CS103-01;CS100-01;CS109-01;CS108-03;CS101-02
