StudentID,StudentName,EnrolledCourses
001,Fatima Chaudhry,CS108-03;CS104-02;CS101-02;CS103-01
002,Maira Chaudhry,CS109-01;CS103-01;CS106-01;CS100-01
003,Nabeel Aziz,CS105-03;CS109-01;CS101-02
004,Waleed Khan,CS102-03;CS104-02;CS107-02;CS105-03
005,Waqar Hussain,CS100-01;CS103-01;CS106-01;CS102-03
006,Kamran Raza,CS100-01;CS106-01;CS103-01;CS101-02
007,Iqra Gilani,CS108-03;CS107-02
008,Nabeel Butt,CS109-01;CS102-03;CS108-03
009,Ayesha Rizvi,CS103-01;CS100-01
010,Adnan Baig,CS107-02;CS101-02;CS104-02;CS106-01;CS103-01
