StudentID,StudentName,EnrolledCourses
001,Farah Sheikh,CS105-03;CS107-02;CS101-02
002,Hamza Raza,CS116-02;CS100-01;CS103-01
003,Nabeel Mirza,CS105-03;CS119-02;CS102-03
004,Saad Shah,CS115-01;CS114-03;CS112-01
005,Danyal Waqar,CS115-01;CS111-03;CS103-01;CS106-01
006,Waleed Baig,CS109-01;CS104-02;CS100-01;CS116-02;CS106-01
007,Sidra Butt,CS117-03;CS107-02;CS112-01;CS116-02;CS105-03
008,Ali Bokhari,CS110-02;CS113-02;CS108-03;CS119-02;CS114-03
009,Iqra Mirza,CS118-01;CS117-03
010,Saba Butt,CS105-03;CS113-02
011,Rida Malik,CS112-01;CS115-01;CS113-02
012,Shahid Raza,CS107-02;CS116-02;CS115-01;CS110-02
013,Omar Ali,CS113-02;CS115-01
014,Hira Raza,CS109-01;CS118-01
015,Bilal Syed,CS118-01;CS117-03;CS119-02;CS114-03;CS108-03
016,Imran Chaudhry,CS114-03;CS109-01;CS103-01;CS108-03
017,Saad Niazi,CS115-01;CS110-02;CS106-01;CS109-01;CS116-02
018,Maryam Syed,CS119-02;CS103-01
019,Maryam Waqar,CS106-01;CS100-01;CS115-01
020,Omar Iqbal,CS112-01;CS118-01;CS104-02
021,Ayesha Khan,CS110-02;CS107-02;CS113-02;CS111-03
022,Lubna Farooqui,CS109-01;CS101-02
023,Ahmer Awan,CS112-01;CS109-01;CS108-03;CS119-02
024,Zainab Syed,CS104-02;CS108-03;CS112-01;CS114-03;CS102-03
025,Sidra Ansari,CS105-03;CS112-01;CS108-03
026,Fatima Gilani,CS109-01;CS106-01;CS118-01;CS119-02;CS105-03
027,Aisha Rizvi,CS115-01;CS114-03;CS111-03
028,Bilal Hussain,CS118-01;CS112-01
029,Imran Khatri,CS103-01;CS118-01;CS107-02;CS112-01;CS111-03
030,Waqar Tariq,CS115-01;CS116-02;CS114-03;CS112-01;CS107-02
