StudentID,StudentName,EnrolledCourses
001,Kamran Raza,CS112-01;CS118-01;CS104-02
002,Sana Mirza,CS125-02;CS126-03;CS110-02;CS129-03
003,Hiba Memon,CS127-01;CS113-02;CS111-03
004,Saba Memon,CS109-01;CS101-02
005,Kamran Hashmi,CS112-01;CS129-03;CS109-01;CS108-03
006,Fatima Farooqui,CS124-01;CS113-02;CS104-02;CS108-03;CS112-01
007,Shahid Khatri,CS102-03;CS107-02;CS105-03;CS112-01;CS108-03
008,Zainab Awan,CS125-02;CS109-01;CS106-01;CS117-03;CS121-01
009,Hamza Rizvi,CS104-02;CS115-01;CS125-02
010,Hassan Beg,CS126-03;CS111-03;CS103-01;CS121-01;CS118-01
011,Saad Bokhari,CS117-03;CS115-01;CS121-01;CS103-01;CS118-01
012,Ahmer Khatri,CS112-01;CS111-03;CS113-02
013,Imran Rizvi,CS116-02;CS114-03;CS112-01;CS107-02;CS120-03
014,Maira Shah,CS117-03;CS113-02;CS125-02;CS105-03
015,Lubna Ahmed,CS108-03;CS121-01
016,Imran Khatri,CS105-03;CS115-01;CS104-02;CS119-02;CS110-02
017,Hira Niazi,CS127-01;CS111-03;CS129-03;CS112-01;CS122-02
018,Iqra Hashmi,CS124-01;CS103-01;CS110-02;CS109-01
019,Bilal Ahmed,CS106-01;CS129-03;CS124-01;CS118-01
020,Faisal Bokhari,CS117-03;CS114-03
021,Ahmer Javed,CS103-01;CS127-01;CS100-01
022,Iqra Ali,CS111-03;CS125-02
023,Amina Siddiqui,CS106-01;CS125-02;CS113-02;CS115-01
024,Iqra Malik,CS115-01;CS101-02;CS103-01
025,Farah Ali,CS115-01;CS114-03;CS107-02;CS116-02;CS103-01
026,Waleed Baig,CS102-03;CS127-01
027,Hiba Siddiqui,CS106-01;CS129-03;CS109-01;CS101-02;CS102-03
028,Waleed Awan,CS102-03;CS124-01;CS128-02
029,Rida Ali,CS110-02;CS113-02
030,Iqra Niazi,CS108-03;CS110-02;CS129-03;CS114-03;CS118-01
031,Sana Hussain,CS127-01;CS125-02;CS116-02
032,Ayesha Butt,CS100-01;CS128-02
033,Saba Rizvi,CS129-03;CS117-03;CS119-02;CS110-02
034,Hira Chaudhry,CS125-02;CS108-03
035,Sidra Siddiqui,CS124-01;CS110-02;CS119-02;CS113-02;CS123-03
036,Adnan Khatri,CS109-01;CS118-01;CS129-03
037,Adnan Niazi,CS129-03;CS105-03;CS106-01;CS114-03;CS118-01
038,Waleed Siddiqui,CS123-03;CS109-01;CS126-03;CS122-02
039,Ayesha Tariq,CS100-01;CS121-01;CS128-02;CS125-02;CS111-03
040,Faisal Mirza,CS117-03;CS112-01;CS101-02;CS104-02;CS111-03
041,Fatima Memon,CS117-03;CS109-01
042,Ahmer Awan,CS121-01;CS100-01;CS122-02;CS113-02;CS106-01
043,Nimra Javed,CS108-03;CS123-03;CS129-03;CS102-03
044,Imran Malik,CS109-01;CS124-01;CS110-02;CS128-02;CS104-02
045,Lubna Baig,CS122-02;CS121-01;CS128-02;CS114-03
