StudentID,StudentName,EnrolledCourses
001,Hira Ali,CS104-02;CS107-02;CS111-03;CS100-01;CS119-02
002,Nabeel Ali,CS101-02;CS119-02
003,Shahid Beg,CS105-03;CS112-01;CS100-01;CS108-03;CS115-01
004,Waleed Beg,CS107-02;CS102-03;CS119-02;CS114-03
005,Zainab Khan,CS108-03;CS117-03;CS101-02;CS116-02;CS107-02
006,Sana Aziz,CS112-01;CS113-02;CS110-02;CS100-01;CS106-01
007,Tariq Farooqui,CS101-02;CS107-02;CS100-01;CS102-03
008,Aisha Ahmed,CS107-02;CS113-02;CS111-03;CS114-03
009,Rida Niazi,CS117-03;CS111-03;CS119-02
010,Hiba Hussain,CS104-02;CS109-01;CS112-01;CS108-03
011,Omar Hussain,CS114-03;CS117-03;CS110-02;CS109-01;CS108-03
012,Asad Aziz,CS102-03;CS114-03
013,Fatima Chaudhry,CS116-02;CS119-02;CS112-01;CS107-02;CS106-01
014,Ali Mirza,CS104-02;CS119-02;CS107-02
015,Lubna Rizvi,CS103-01;CS104-02;CS101-02;CS107-02
016,Sana Raza,CS103-01;CS118-01
017,Asad Memon,CS118-01;CS117-03;CS112-01;CS101-02
018,Ali Butt,CS115-01;CS104-02;CS117-03;CS116-02
019,Fatima Iqbal,CS101-02;CS109-01;CS112-01
020,Ayesha Ansari,CS101-02;CS108-03
021,Amina Aziz,CS105-03;CS106-01;CS100-01;CS108-03;CS103-01
022,Omar Mirza,CS104-02;CS101-02
023,Faisal Khan,CS114-03;CS108-03;CS112-01;CS105-03
024,Sidra Farooqui,CS104-02;CS100-01
025,Hiba Siddiqui,CS108-03;CS115-01;CS102-03;CS107-02;CS114-03
026,Waleed Waqar,CS103-01;CS109-01;CS119-02;CS108-03
027,Adnan Aziz,CS102-03;CS107-02;CS115-01
028,Aisha Malik,CS109-01;CS117-03
029,Zara Sheikh,CS118-01;CS110-02;CS112-01
030,Rabia Farooqui,CS119-02;CS111-03;CS107-02;CS118-01
